fundingTime,fundingRate,realizedRate
2026-06-08 08:00:00,4.24550662021e-05,4.24550662021e-05
2026-06-08 16:00:00,-7.55486509945e-05,-7.55486509945e-05
2026-06-09 00:00:00,-1.25192203038e-05,-1.25192203038e-05
2026-06-09 08:00:00,-7.6999774469e-06,-7.6999774469e-06
2026-06-09 16:00:00,3.6350401157e-05,3.6350401157e-05
2026-06-10 00:00:00,4.76144458983e-05,4.76144458983e-05
2026-06-10 08:00:00,-1.59316750235e-05,-1.59316750235e-05
2026-06-10 16:00:00,-8.7786677452e-06,-8.7786677452e-06
2026-06-11 00:00:00,-4.34625906886e-05,-4.34625906886e-05
2026-06-11 08:00:00,-6.03239409731e-05,-6.03239409731e-05
2026-06-11 16:00:00,-2.39606392713e-05,-2.39606392713e-05
2026-06-12 00:00:00,-4.9527169637e-06,-4.9527169637e-06
2026-06-12 08:00:00,1.3381574222e-05,1.3381574222e-05
2026-06-12 16:00:00,-2.23589457138e-05,-2.23589457138e-05
2026-06-13 00:00:00,9.1148532304e-06,9.1148532304e-06
2026-06-13 08:00:00,8.6943079192e-06,8.6943079192e-06
2026-06-13 16:00:00,-6.39574741838e-05,-6.39574741838e-05
2026-06-14 00:00:00,-3.1294023986e-05,-3.1294023986e-05
2026-06-14 08:00:00,-3.38984808092e-05,-3.38984808092e-05
2026-06-14 16:00:00,-7.59112940001e-05,-7.59112940001e-05
2026-06-15 00:00:00,-5.83460493709e-05,-5.83460493709e-05
2026-06-15 08:00:00,-6.89247750096e-05,-6.89247750096e-05
2026-06-15 16:00:00,-7.39035810096e-05,-7.39035810096e-05
2026-06-16 00:00:00,-1.30999107801e-05,-1.30999107801e-05
2026-06-16 08:00:00,-5.92277212018e-05,-5.92277212018e-05
2026-06-16 16:00:00,-1.08643309843e-05,-1.08643309843e-05
2026-06-17 00:00:00,3.59942934559e-05,3.59942934559e-05
2026-06-17 08:00:00,-2.4895073548e-05,-2.4895073548e-05
2026-06-17 16:00:00,-3.42401528489e-05,-3.42401528489e-05
2026-06-18 00:00:00,4.9965386896e-06,4.9965386896e-06
2026-06-18 08:00:00,2.71213062112e-05,2.71213062112e-05
2026-06-18 16:00:00,3.5651907852e-05,3.5651907852e-05
2026-06-19 00:00:00,1.3446105841e-06,1.3446105841e-06
2026-06-19 08:00:00,3.24496957995e-05,3.24496957995e-05
2026-06-19 16:00:00,-4.9910259435e-06,-4.9910259435e-06
2026-06-20 00:00:00,2.05881918658e-05,2.05881918658e-05
2026-06-20 08:00:00,-1.88323191508e-05,-1.88323191508e-05
2026-06-20 16:00:00,2.0836725788e-06,2.0836725788e-06
2026-06-21 00:00:00,-8.8262165972e-06,-8.8262165972e-06
2026-06-21 08:00:00,-1.4922291748e-05,-1.4922291748e-05
2026-06-21 16:00:00,-1.19152252366e-05,-1.19152252366e-05
2026-06-22 00:00:00,-2.88482815558e-05,-2.88482815558e-05
2026-06-22 08:00:00,2.87541037749e-05,2.87541037749e-05
2026-06-22 16:00:00,4.14573501689e-05,4.14573501689e-05
2026-06-23 00:00:00,4.86570053437e-05,4.86570053437e-05
2026-06-23 08:00:00,1.06301812452e-05,1.06301812452e-05
2026-06-23 16:00:00,2.75155316918e-05,2.75155316918e-05
2026-06-24 00:00:00,2.59855577951e-05,2.59855577951e-05
2026-06-24 08:00:00,8.32808229693e-05,8.32808229693e-05
2026-06-24 16:00:00,4.32526539971e-05,4.32526539971e-05
2026-06-25 00:00:00,-4.59301184219e-05,-4.59301184219e-05
2026-06-25 08:00:00,-7.79943959298e-05,-7.79943959298e-05
2026-06-25 16:00:00,-3.44282240539e-05,-3.44282240539e-05
2026-06-26 00:00:00,1.3441848992e-06,1.3441848992e-06
2026-06-26 08:00:00,9.6635297061e-06,9.6635297061e-06
2026-06-26 16:00:00,8.20729542149e-05,8.20729542149e-05
2026-06-27 00:00:00,4.06267603842e-05,4.06267603842e-05
2026-06-27 08:00:00,5.0548856273e-05,5.0548856273e-05
2026-06-27 16:00:00,3.22701928586e-05,3.22701928586e-05
2026-06-28 00:00:00,4.02316180587e-05,4.02316180587e-05
2026-06-28 08:00:00,3.19959525751e-05,3.19959525751e-05
2026-06-28 16:00:00,3.95436281002e-05,3.95436281002e-05
2026-06-29 00:00:00,4.6598340778e-06,4.6598340778e-06
2026-06-29 08:00:00,5.03634854124e-05,5.03634854124e-05
2026-06-29 16:00:00,7.17956019909e-05,7.17956019909e-05
2026-06-30 00:00:00,8.45798622754e-05,8.45798622754e-05
2026-06-30 08:00:00,5.21934781504e-05,5.21934781504e-05
2026-06-30 16:00:00,6.41177716092e-05,6.41177716092e-05
2026-07-01 00:00:00,4.77134731687e-05,4.77134731687e-05
2026-07-01 08:00:00,1.30447729281e-05,1.30447729281e-05
2026-07-01 16:00:00,3.76950039265e-05,3.76950039265e-05
2026-07-02 00:00:00,9.0342275479e-05,9.0342275479e-05
